FunctionName,Invocaciones
admin-prod-getAllSucursalCuponHorarios,0.0
prod-socket-services-v1-prod-setOrderFeeCourier_v1,0.0
common-prod-getBeneficioCompra,0.0
super-prod-updateSucursalCuponDeletedAt,0.0
prod-socket-services-prod-getAllOrderPaginated,0.0
shop-prod-inscribeUserTBKOC,0.0
super-prod-get-domain-status,0.0
shop-prod-product-detail,0.0
lince-prod-getAllPreguntaByIdElemento,0.0
prod-socket-services-prod-forcedDeliveredOrder,0.0
shop-app-dev-checkVersion,0.0
amplify-login-verify-auth-challenge-afa65742,0.0
super-prod-rider-sendNotifications,0.0
prod-socket-services-prod-getInitByApp,0.0
shop-prod-put-reciveFpayNotification,0.0
admin-prod-saveSucursalCuponHorario,0.0
agil-prod-updateStatusStoreOMS,0.0
super-prod-crearBaseMasivaPromociones,0.0
pos-prod-popappReceiveOrderChangeStatus,0.0
shop-prod-deleteInscription,0.0
admin-prod-getAllTipoReglaForControl,0.0
common-prod-healthCheckShop,0.0
super-prod-getRiderGeoZonasDisponibilidad,0.0
agil-prod-pickedUpOrderOMS,0.0
super-prod-get-info-domain-commerce,0.0
lince-prod-createElementoTrabajador,0.0
aliados-13489AA-prod-getGroupLogs,0.0
common-prod-getStoreUrl,0.0
prod-socket-services-prod-changeStatusOrder,0.0
super-prod-GetCuentaBancariaCentroNegocio,0.0
super-prod-getAllSucursalesCdn,0.0
super-prod-addRidersToChallenge,0.0
aliados-13489AA-prod-delete-coupon,0.0
super-prod-getOneSucursalCupon,0.0
super-prod-getRidersToChallenge,0.0
aliados-13489AA-prod-cupon-set-cupon-audiencia,0.0
super-prod-getFunnel,0.0
super-prod-updateComercioMetatags,0.0
common-prod-post-facebook-webhook,0.0
super-prod-v1AddMarketplaceSucursales,0.0
agil-prod-setConfigSucursalMasiva,0.0
amplify-login-create-auth-challenge-afa65742,0.0
super-prod-createPlanSucursal,0.0
rider-prod-newCalification,0.0
super-prod-getAllBitacoraRider,0.0
agil-prod-exportCatalogPeyaLogs,0.0
shop-prod-validateProductStocks,0.0
shop-prod-getInscripctions,0.0
shop-prod-get-address-match,0.0
lince-prod-existElementoComercio,0.0
pos-prod-assign-flag-order,0.0
rider-prod-support,0.0
super-prod-change-commerce-level,0.0
admin-prod-getWinRidersByChallenge,0.0
prod-socket-services-prod-getAllUser,0.0
prod-socket-services-v1-prod-closeOrder_v1,0.0
admin-prod-updateElemento,0.0
agil-prod-send-order-cancelled-webhook,0.0
super-prod-getAllPlanSucursalPrivilegios,0.0
aliados-13489AA-prod-get-detalle-base-importada,0.0
super-prod-v1-checkDomainHostedInAgil,0.0
super-prod-distributeVersionPOS,0.0
super-prod-createSucursalPlanPersonalizado,0.0
admin-prod-getComerioByURL,0.0
aliados-13489AA-prod-get-tipo-excepciones,0.0
lince-prod-getAllTrabajador,0.0
market-prod-getProductByCategory,0.0
admin-prod-getGeozonasComercio,0.0
prod-socket-services-prod-newOrder,0.0
shop-prod-createUsuarioDireccion,0.0
super-prod-deleteChallenge,0.0
super-prod-dbSync,0.0
admin-prod-getUsuarioByEmail,0.0
common-prod-getAllAudienciaReglas,0.0
rider-prod-acceptChallenge,0.0
common-prod-getZonaDisponibilidadRiderDemanda,0.0
shop-prod-reversePayment,0.0
admin-prod-createPaginaShop,0.0
super-prod-delete-domain,0.0
agil-prod-googleFormRequests,0.0
shop-prod-sendRateOrderEmail,0.0
28vumj-royklpq,0.0
mall-prod-getMallByHost,0.0
pos-prod-auth-deliverect,0.0
lince-prod-deletePregunta,0.0
common-prod-notifyToSlack,0.0
super-prod-v1-deleteShopDomain,0.0
prod-socket-services-prod-refreshAllOrderbyCDN,0.0
aliados-13489AA-prod-market-get-all-product-market,0.0
prod-socket-services-v1-prod-getAllUser_v1,0.0
agil-prod-updateCookingTime,0.0
super-prod-v1-getShopDomainInfo,0.0
super-prod-SetMetodosPagoCentroNegocio,0.0
super-prod-get-subdomain-status,0.0
pos-prod-migrateSucursalConfigImpresoras,0.0
shop-prod-shopCustomForm,0.0
common-prod-linkSucursalToGeozonaRider,0.0
lince-prod-createPregunta,0.0
prod-socket-services-prod-setOrderFeeCourier,0.0
prod-socket-services-prod-testSocketDB,0.0
3n89q29-2s1zkk,0.0
super-prod-updatePlanSucursal,0.0
admin-prod-deleteTrabajador,0.0
testInvoke,0.0
prod-socket-services-prod-cancelTransfer,0.0
common-prod-v1-clearApiGatewayCache,0.0
super-prod-createOrEditBranchRate,0.0
common-prod-unSubscribeProviderTrack,0.0
market-prod-wholesaler-get-by-host,0.0
super-prod-v1GetMarketplaceSucursales,0.0
super-prod-v1-createShopDomain,0.0
super-prod-updatePlanSucursalDeletedAt,0.0
prod-socket-services-prod-getCurrentDynamoOrders,0.0
auth-prod-loginWithGoogle,0.0
market-prod-product-search,0.0
common-prod-courier-get-stimated,0.0
lince-prod-getAllRespuesta,0.0
super-prod-validateShopPaymentsByDate,0.0
admin-prod-deleteElemento,0.0
aliados-13489AA-prod-importar-clientes,0.0
pos-prod-rename-commercial-flag,0.0
admin-prod-getAllSucursalCupon,0.0
super-prod-generarTransferenciaSucursal,0.0
super-prod-deleteRiderGeoZonaDisponibilidad,0.0
super-prod-updateBranchRate,0.0
rider-prod-registerRider,0.0
admin-prod-getAllFormularioShop,0.0
rider-prod-deliverOrder,0.0
agil-prod-createProductsAndModifierMatch,0.0
